1,1,7,0.1
2,1,6,0.1
3,2,7,0.1
4,2,6,0.1
5,3,7,0.1
6,3,6,0.1
7,4,7,0.1
8,4,6,0.1
9,5,7,0.1
10,4,5,0.1
11,5,6,0.1
12,5,5,0.1
13,6,7,0.1
14,5,4,0.1
15,6,6,0.1
16,3,5,0.1
17,7,6,0.1
18,4,4,0.1
19,6,5,0.1
20,5,3,0.1
21,7,5,0.1
22,4,3,0.1
23,7,4,0.1
24,6,4,0.1
25,7,3,0.1
26,6,3,0.1
27,7,2,0.1
28,6,2,0.1
29,7,1,0.1
30,5,2,0.1
31,8,1,0.1
32,6,1,0.1
33,0,7,0.1
34,0,8,0.1
35,0,0,0.1
36,0,5,0.1
37,2,5,0.1
38,0,4,0.1
39,1,5,0.1
40,0,3,0.1
41,1,4,0.1
42,0,2,0.1
43,1,3,0.1
44,1,2,0.1
45,2,3,0.1
46,0,1,0.1
47,3,4,0.1
48,1,1,0.1
49,2,4,0.1
50,1,0,0.1
51,3,3,0.1
52,2,1,0.1
53,4,2,0.1
54,2,0,0.1
55,2,2,0.1
56,3,0,0.1
57,3,2,0.1
58,4,0,0.1
59,3,1,0.1
60,5,0,0.1
61,4,1,0.1
62,6,0,0.1
63,5,1,0.1
64,7,0,0.1
65,0,7,0.1
66,0,8,0.1
67,0,6,0.1
68,0,5,0.1
69,2,5,0.1
70,0,4,0.1
71,1,5,0.1
72,0,3,0.1
73,1,4,0.1
74,0,2,0.1
75,1,3,0.1
76,1,2,0.1
77,2,3,0.1
78,0,1,0.1
79,3,4,0.1
80,1,1,0.1
81,2,4,0.1
82,1,0,0.1
83,3,3,0.1
84,2,1,0.1
85,4,2,0.1
86,2,0,0.1
87,2,2,0.1
88,3,0,0.1
89,3,2,0.1
90,4,0,0.1
91,3,1,0.1
92,5,0,0.1
93,4,1,0.1
94,6,0,0.1
95,5,1,0.1
96,7,0,0.1
97,1,7,0.1
98,1,6,0.1
99,2,7,0.1
100,2,6,0.1
101,3,7,0.1
102,3,6,0.1
103,4,7,0.1
104,4,6,0.1
105,5,7,0.1
106,4,5,0.1
107,5,6,0.1
108,5,5,0.1
109,6,7,0.1
110,5,4,0.1
111,6,6,0.1
112,3,5,0.1
113,7,6,0.1
114,4,4,0.1
115,6,5,0.1
116,5,3,0.1
117,7,5,0.1
118,4,3,0.1
119,7,4,0.1
120,6,4,0.1
121,7,3,0.1
122,6,3,0.1
123,7,2,0.1
124,6,2,0.1
125,7,1,0.1
126,5,2,0.1
127,8,1,0.1
128,6,1,0.1
